stock_code,stock_name,stock_name_chi
104,ASIA COMMERCIAL HOLDINGS LIMITED,ASIA COMM HOLD
105,ASSOCIATED INTERNATIONAL HOTELS LTD,凱聯國際酒店
106,"LANDSEA GREEN PROPERTIES CO., LTD.",朗詩地產
107,SICHUAN EXPRESSWAY COMPANY LIMITED,四川成渝高速公路
108,GR PROPERTIES LIMITED,國銳地產
109,GOOD RESOURCES HOLDINGS LIMITED,天成國際
110,CHINA FORTUNE HOLDINGS LIMITED,中國長遠
111,CINDA INTERNATIONAL HOLDINGS LIMITED,信達國際控股
112,LERTHAI GROUP LIMITED,勒泰集團
113,DICKSON CONCEPTS (INTERNATIONAL) LIMITED,迪生創建
114,HERALD HOLDINGS LTD,HERALD HOLD
115,GRAND FIELD GROUP HOLDINGS LIMITED,鈞濠集團
116,CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,周生生
117,TIANLI HOLDINGS GROUP LIMITED,天利控股集團
118,COSMOS MACHINERY ENTERPRISES LIMITED,大同機械
119,"POLY PROPERTY GROUP CO., LIMITED",保利置業集團
120,COSMOPOLITAN INTERNATIONAL HOLDINGS LTD,COSMOPOL INT'L
122,CROCODILE GARMENTS LIMITED,鱷魚恤
123,YUEXIU PROPERTY COMPANY LIMITED,越秀地產
124,GUANGDONG LAND HOLDINGS LIMITED,粵海置地
125,SUN HING VISION GROUP HOLDINGS LIMITED,新興光學
126,CARRIANNA GROUP HOLDINGS COMPANY LIMITED,佳寧娜
127,CHINESE ESTATES HOLDINGS LIMITED,華人置業
128,ENM HOLDINGS LIMITED,安寧控股
129,ASIA STANDARD INTERNATIONAL GROUP LTD,泛海集團
130,MOISELLE INTERNATIONAL HOLDINGS LIMITED,慕詩國際
131,CHEUK NANG (HOLDINGS) LIMITED,卓能(集團)
132,CHINA INVESTMENTS HOLDINGS LIMITED,中國興業控股
133,CHINA MERCHANTS CHINA DIRECT INVESTMENTS LIMITED,招商局中國基金
135,KUNLUN ENERGY COMPANY LIMITED,昆侖能源
136,HENGTEN NETWORKS GROUP LIMITED,恆騰網絡
137,JINHUI HOLDINGS COMPANY LIMITED,金輝集團
138,CCT FORTIS HOLDINGS LIMITED,中建富通
139,CENTRAL WEALTH GROUP HOLDINGS LIMITED,中達集團控股
141,SKY CHINAFORTUNE HOLDINGS GROUP LIMITED,天禧海嘉控股
