participant_id,participant_name,participant_name_chi
B01348,GRAND FORTUNE SECURITIES & INVESTMENT CO,GRAND FORTUNE SECURITIES & INVESTMENT CO
B01349,GA LUNG SECURITIES CO,GA LUNG SECURITIES CO
B01350,S. W. WOO & CO LTD,榮興證券有限公司
B01351,WING FUNG SECURITIES LTD,永豐證券有限公司
B01352,UNI-CROWN INVESTMENT LTD,UNI-CROWN INVESTMENT LTD
B01353,UOB KAY HIAN (HONG KONG) LTD,大華繼顯(香港)有限公司
B01355,CHINA EVERBRIGHT SECURITIES (HK) LTD,中國光大證券(香港)有限公司
B01356,DELTA ASIA SECURITIES LTD,匯業證券有限公司
B01358,TANRICH SECURITIES CO,TANRICH SECURITIES CO
B01359,PAK LEE STOCK CO,PAK LEE STOCK CO
B01360,SEAMICO MARLIN SECURITIES (H.K.) LTD,SEAMICO MARLIN SECURITIES (H.K.) LTD
B01361,B.N.P. SECURITIES (HONG KONG) LTD,B.N.P. SECURITIES (HONG KONG) LTD
B01362,JOSPA INVESTMENT CO LTD,祖達股票行有限公司
B01364,STANDARD CAPITAL BROKERAGE LTD,STANDARD CAPITAL BROKERAGE LTD
B01365,THE NIKKO SECURITIES CO (HONG KONG) LTD,THE NIKKO SECURITIES CO (HONG KONG) LTD
B01366,UBS SECURITIES (HONG KONG) LTD,UBS SECURITIES (HONG KONG) LTD
B01367,EVERLIGHT SHARES CO,EVERLIGHT SHARES CO
B01368,CORRINGTON SECURITIES & INVESTMENT LTD,CORRINGTON SECURITIES & INVESTMENT LTD
B01369,MAXGAIN INVESTMENT LTD,MAXGAIN INVESTMENT LTD
B01370,WINSON SECURITIES LTD,WINSON SECURITIES LTD
B01372,FIRST WORLDSEC SECURITIES LTD,第一金和昇證券有限公司
B01373,CHRISTFUND SECURITIES LTD,恆豐證券有限公司
B01374,PO LEE SECURITIES LTD,寶利證券有限公司
B01375,AVEREST CAPITAL LTD,永桐資本有限公司
B01376,PUBLIC SECURITIES LTD,大眾証券有限公司
B01377,WAI KEUNG SECURITIES CO,WAI KEUNG SECURITIES CO
B01379,GOLDEN FOUNTAIN SECURITIES CO,GOLDEN FOUNTAIN SECURITIES CO
B01380,HING LEE SECURITIES CO,HING LEE SECURITIES CO
B01381,ALLIED PROFIT SECURITIES CO,ALLIED PROFIT SECURITIES CO
B01382,CHINA-HK INTERNATIONAL SECURITIES LTD,CHINA-HK INTERNATIONAL SECURITIES LTD
B01383,RICH PLEASURE SECURITIES LTD,富欣證券有限公司
B01384,ORIENTAL STOCKS & SHARES (INVESTMENT) CO,ORIENTAL STOCKS & SHARES (INVESTMENT) CO
B01385,FAIRWIN BROKING LTD,海富證券有限公司
B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,軟庫中華金融服務有限公司
B01387,LUEN HING SECURITIES LTD,LUEN HING SECURITIES LTD
B01388,MANSON HONG KONG LTD,MANSON HONG KONG LTD
B01389,ZHONGRONG PT SECURITIES LTD,中融平和證券有限公司
B01390,CLARION CAPITAL ASIA LTD,CLARION CAPITAL ASIA LTD
B01391,KAY YUE SECURITIES CO LTD,KAY YUE SECURITIES CO LTD
B01392,TAIFAIR SECURITIES LTD,大輝證券有限公司
B01393,CHINA NONFERROUS METALS SECURITIES CO,CHINA NONFERROUS METALS SECURITIES CO
B01395,SIX SIGMA BROKERAGE LTD,SIX SIGMA BROKERAGE LTD
B01396,REALIGHT INVESTMENT LTD,REALIGHT INVESTMENT LTD
B01397,BALI SECURITIES CO LTD,BALI SECURITIES CO LTD
B01398,TAI SHING STOCK INVESTMENT CO,TAI SHING STOCK INVESTMENT CO
B01399,JIN LOONG SECURITIES CO LTD,JIN LOONG SECURITIES CO LTD
B01400,GLOBAL CREDIT SECURITIES LTD,GLOBAL CREDIT SECURITIES LTD
B01401,MEGABASE SECURITIES LTD,萬達基證券有限公司
B01402,PHOENIX CAPITAL SECURITIES LTD,英明證券有限公司
B01403,QUEST STOCKBROKERS (HK) LTD,華輝證券有限公司
B01404,HONG KONG STOCK LINK SECURITIES LTD,港股通証券有限公司
B01405,ETRADE SECURITIES LTD,ETRADE SECURITIES LTD
B01406,CHINA SECURITIES HOLDINGS LTD,CHINA SECURITIES HOLDINGS LTD
B01407,WIN WONG SECURITIES LTD,宏旺證券有限公司
B01408,PACIFIC RIM SECURITIES,PACIFIC RIM SECURITIES
B01409,DRESDNER KLEINWORT WASSERSTEIN,DRESDNER KLEINWORT WASSERSTEIN
B01410,WINGS SECURITIES (HK) LTD,金鵬證券有限公司
B01411,WING YEE CO,WING YEE CO
B01412,RANK GLORY INVESTMENT LTD,RANK GLORY INVESTMENT LTD
B01413,CORE PACIFIC - YAMAICHI INTERNATIONAL,京華山一國際(香港)有限公司
B01414,EVERHOT SECURITIES LTD,EVERHOT SECURITIES LTD
B01415,TARZAN STOCK & SHARES LTD,泰山證券有限公司
B01416,VC BROKERAGE LTD,匯盈證券有限公司
B01417,CHEE TAK SECURITIES LTD,致德證券有限公司
B01418,EVER-LONG SECURITIES CO,EVER-LONG SECURITIES CO
B01419,UNICO SECURITIES LTD,UNICO SECURITIES LTD
B01420,A ONE INVESTMENT CO LTD,A ONE INVESTMENT CO LTD
B01421,ONEPLATFORM SECURITIES LTD,環一證券有限公司
B01423,PRUDENTIAL BROKERAGE LTD,信誠證券有限公司
B01424,INTERCHINA SECURITIES LTD,INTERCHINA SECURITIES LTD
B01425,WELLFULL SECURITIES CO LTD,偉富證券有限公司
B01426,YEE FAT SECURITIES CO LTD,YEE FAT SECURITIES CO LTD
B01427,SINCERE SECURITIES LTD,訊匯證券有限公司
B01428,HIP HING SECURITIES LTD,協興股票有限公司
B01429,NEW JAPAN SECURITIES INTERNATIONAL,NEW JAPAN SECURITIES INTERNATIONAL
B01430,CITIGROUP GLOBAL MARKETS ASIA LTD,CITIGROUP GLOBAL MARKETS ASIA LTD
B01431,YUE SHING SECURITIES CO LTD,YUE SHING SECURITIES CO LTD
B01432,GRAND GENERALE SECURITIES LTD,GRAND GENERALE SECURITIES LTD
B01433,HING WAI ALLIED SECURITIES LTD,興偉聯合證券有限公司
B01434,BEEVEST SECURITIES LTD,蜂投證券有限公司
B01435,JOLLY FIRST CAPITAL LTD,捷利證券有限公司
B01436,MANBLE SECURITIES LTD,MANBLE SECURITIES LTD
B01437,SINO CAPITAL SECURITIES LTD,國順證券有限公司
B01438,KINGSTON SECURITIES LTD,金利豐證券有限公司
B01439,TAI TAK SECURITIES (ASIA) LTD,大德證券(亞洲)有限公司
B01440,HOU TAK SECURITIES LTD,HOU TAK SECURITIES LTD
B01441,M & A SECURITIES (HK) LTD,M & A SECURITIES (HK) LTD
B01442,CENTURY CITY SECURITIES LTD,CENTURY CITY SECURITIES LTD
B01443,YING WAH SECURITIES CO LTD,英華證券有限公司
B01444,BAILI SECURITIES CO LTD,百利證券有限公司
B01445,VICTORY SECURITIES CO LTD,勝利證券有限公司
B01446,FORLUXE SECURITIES CO,FORLUXE SECURITIES CO
B01447,WONDERLAND INTERNATIONAL SECURITIES LTD,華德國際證券有限公司
B01448,SOEN TAK SECURITIES CO LTD,SOEN TAK SECURITIES CO LTD
B01449,TARTAN SECURITIES (ASIA) LTD,TARTAN SECURITIES (ASIA) LTD
B01450,DL BROKERAGE LTD,佐雄證券有限公司
B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD,高盛(亞洲)證券有限公司
B01452,GRAND FORTUNE SECURITIES & INVESTMENT CO,GRAND FORTUNE SECURITIES & INVESTMENT CO
B01453,INSTINET ALPHA TRADING LTD,INSTINET ALPHA TRADING LTD
B01454,HAO TIAN INTERNATIONAL SECURITIES LTD,昊天國際證券有限公司
B01455,NATIONAL RESOURCES SECURITIES LTD,中潤證券有限公司
B01456,FOREGROUND SECURITIES CO LTD,FOREGROUND SECURITIES CO LTD
B01457,MARS SECURITIES CO LTD,億寶証券有限公司
B01458,YICKO SECURITIES LTD,益高證券有限公司
B01459,IFAST SECURITIES (HK) LTD,奕豐證券(香港)有限公司
B01460,BERICH BROKERAGE LTD,百裕證券有限公司
B01461,BILLION SECURITIES CO LTD,BILLION SECURITIES CO LTD
B01462,PING AN SECURITIES LTD,平安證券有限公司
B01463,KGI WEALTH MANAGEMENT LTD,KGI WEALTH MANAGEMENT LTD
B01464,PIPER JAFFRAY ASIA SECURITIES LTD,PIPER JAFFRAY ASIA SECURITIES LTD
B01465,FULL SPEED SECURITIES CO LTD,FULL SPEED SECURITIES CO LTD
B01466,FULIXIN SECURITIES LTD,富力鑫證券有限公司
B01467,STAR SECURITIES LTD,STAR SECURITIES LTD
B01468,BRIGHT SMART SECURITIES CO LTD,BRIGHT SMART SECURITIES CO LTD
B01469,KAISER SECURITIES LTD,嘉信証券有限公司
B01470,HUNG SING SECURITIES LTD,鴻昇證券有限公司
B01471,GREAT BAY SECURITIES LTD,大灣區深港證券有限公司
B01472,SUN GROWTH SECURITIES LTD,志昇証券有限公司
B01473,SUNNY WORLD INVESTMENT LTD,新利偉投資有限公司
B01474,VICTORFIELD SECURITIES LTD,VICTORFIELD SECURITIES LTD
B01475,WING SANG SECURITIES CO LTD,WING SANG SECURITIES CO LTD
B01476,GOLD TRIUMPH INVESTMENT LTD,GOLD TRIUMPH INVESTMENT LTD
B01477,FT SECURITIES LTD,FT SECURITIES LTD
B01478,GOLDBRIDGE SECURITIES LTD,金橋證券有限公司
B01479,SEG INTERNATIONAL SECURITIES (H.K.) LTD,SEG INTERNATIONAL SECURITIES (H.K.) LTD
B01480,KEPPEL SECURITIES HONG KONG LTD,KEPPEL SECURITIES HONG KONG LTD
B01481,NEW REGION SECURITIES CO LTD,恆盛證券有限公司
B01482,RICH SECURITIES LTD,RICH SECURITIES LTD
B01483,BULLISH SECURITIES LTD,利銘證券有限公司
B01484,HARVESTER (SECURITIES) CO LTD,HARVESTER (SECURITIES) CO LTD
B01485,WING YIP CO LTD (IN LIQUIDATION),永業證券有限公司
B01486,ASG BROKERAGE LTD,ASG BROKERAGE LTD
B01487,CHINA RENAISSANCE BROKING SERVICES (HONG,華興金融服務(香港)有限公司
B01488,KOWLOON DEVELOPMENT K. F. LO SECURITIES,KOWLOON DEVELOPMENT K. F. LO SECURITIES
B01489,GRAND CARTEL SECURITIES CO LTD,宏大證券有限公司
B01490,HSBC SECURITIES BROKERS (ASIA) LTD,HSBC SECURITIES BROKERS (ASIA) LTD
B01491,CREDIT SUISSE SECURITIES (HONG KONG) LTD,CREDIT SUISSE SECURITIES (HONG KONG) LTD
B01492,KAM WAH SECURITIES LTD,KAM WAH SECURITIES LTD
B01493,YARDLEY SECURITIES LTD,溢利證券有限公司
B01494,AUDREY CHOW SECURITIES LTD,高陞證券有限公司
B01495,CORE PACIFIC SECURITIES INTERNATIONAL,CORE PACIFIC SECURITIES INTERNATIONAL
B01496,LIBRA ASIA SECURITIES LTD,LIBRA ASIA SECURITIES LTD
B01497,SINOPAC SECURITIES (ASIA) LTD,永豐金證券(亞洲)有限公司
B01498,YAN YAN INVESTMENT LTD,YAN YAN INVESTMENT LTD
B01499,HLG SECURITIES (HK) LTD,HLG SECURITIES (HK) LTD
B01500,D.J. SECURITIES LTD,申新證券有限公司
B01501,GOLDRIDE SECURITIES LTD,金旭證券有限公司
B01502,NEW UNIVERSE SECURITIES (HK) LTD,NEW UNIVERSE SECURITIES (HK) LTD
B01503,GOLD CENTRE INVESTMENT CO,GOLD CENTRE INVESTMENT CO
B01504,J.P. MORGAN SECURITIES HONG KONG LTD,J.P. MORGAN SECURITIES HONG KONG LTD
B01505,SHACOM SECURITIES LTD,上銀證券有限公司
B01506,BEAR STEARNS ASIA LTD,BEAR STEARNS ASIA LTD
B01507,CHENG YAM ON SECURITIES LTD,CHENG YAM ON SECURITIES LTD
B01508,SOUTHWEST SECURITIES (HK) BROKERAGE LTD,西證(香港)證券經紀有限公司
B01509,UNICORN SECURITIES CO LTD,益群證券有限公司
B01510,ORIENTAL PATRON SECURITIES LTD,東英亞洲證券有限公司
B01511,TAT LEE SECURITIES CO LTD,達利證券有限公司
B01512,CLOVER SECURITIES CO LTD (IN MEMBERS',CLOVER SECURITIES CO LTD (IN MEMBERS'
B01513,CONCORD SECURITIES CO LTD,CONCORD SECURITIES CO LTD
B01514,KARL-THOMSON SECURITIES CO LTD,高信證券有限公司
B01515,KOKUSAI SECURITIES (HONG KONG) LTD,KOKUSAI SECURITIES (HONG KONG) LTD
B01516,SHANGHAI SHENYIN SECURITIES (H. K.) LTD,SHANGHAI SHENYIN SECURITIES (H. K.) LTD
B01517,WEI XIN SECURITIES LTD,WEI XIN SECURITIES LTD
B01518,GINY SECURITIES CO,GINY SECURITIES CO
B01519,GOOD HARVEST SECURITIES CO LTD,豐年証券投資有限公司
B01520,NORTH SEA SECURITIES LTD,立生證券有限公司
B01521,CHAN NGOK MING SECURITIES LTD,陳岳明證券有限公司
B01522,CHUANGS & CO LTD,CHUANGS & CO LTD
B01523,EVER-LONG SECURITIES CO LTD,長雄證券有限公司
B01524,GOLDEN HILL INVESTMENT CO LTD,GOLDEN HILL INVESTMENT CO LTD
B01525,KEE CHEONG SECURITIES CO LTD,祺昌證券有限公司
B01526,SIU FAI SECURITIES CO LTD,韶輝證券有限公司
B01527,NITTAN SECURITIES ASIA LTD,溢勝證券亞洲有限公司
B01528,EAA SECURITIES LTD,東美證券有限公司
B01529,HK KOWLOON FIRST SECURITIES CO LTD,HK KOWLOON FIRST SECURITIES CO LTD
B01530,FULLJET SECURITIES LTD,富澤證券有限公司
B01531,LAU & CO LTD,LAU & CO LTD
B01532,MAN LUNG HONG SECURITIES LTD,萬隆行證券有限公司
B01534,POWER RANGE SECURITIES CO LTD,POWER RANGE SECURITIES CO LTD
B01535,WING YEE SECURITIES CO LTD,詠誼證券投資有限公司
B01537,AMSTEEL SECURITIES (H.K.) LTD,AMSTEEL SECURITIES (H.K.) LTD
B01538,MORTON SECURITIES LTD,萬基證券有限公司
B01539,FORDJOY SECURITIES LTD,FORDJOY SECURITIES LTD
B01540,UPBEST SECURITIES CO LTD,美建證券有限公司
B01541,BRILLIANT SECURITIES LTD,BRILLIANT SECURITIES LTD
B01542,GRAND ONWARD SECURITIES LTD,GRAND ONWARD SECURITIES LTD
B01543,KWONG FAT HONG (SECURITIES) LTD,廣發行証券有限公司
B01544,IPO SECURITIES LTD,IPO SECURITIES LTD
B01545,TUNG SHING SECURITIES (BROKERS) LTD,TUNG SHING SECURITIES (BROKERS) LTD
B01546,WO FUNG SECURITIES CO LTD,和豐證券有限公司
B01547,KWOK HING SECURITIES LTD,國興証券有限公司
B01548,LEE WAI SECURITIES LTD,LEE WAI SECURITIES LTD
B01549,PROSPEROUS SECURITIES LTD,PROSPEROUS SECURITIES LTD
B01550,HUAYU SECURITIES LTD,華裕證券有限公司
B01551,YUE XIU SECURITIES CO LTD,越秀証券有限公司
B01552,CARRIER STOCK INVESTMENT CO LTD,嘉利證券投資有限公司
B01553,GRAND SECURITIES CO LTD,GRAND SECURITIES CO LTD
B01554,MACQUARIE EQUITIES (ASIA) LTD,MACQUARIE EQUITIES (ASIA) LTD
B01555,ABN AMRO CLEARING HONG KONG LTD,ABN AMRO CLEARING HONG KONG LTD
B01556,LUK FOOK SECURITIES (HK) LTD,六福證券(香港)有限公司
B01557,CHU CHUNG TIN SECURITIES LTD,CHU CHUNG TIN SECURITIES LTD
B01558,GOLD FUND SECURITIES CO LTD,GOLD FUND SECURITIES CO LTD
B01559,HING LEE SECURITIES LTD,興利証券有限公司
B01562,C.A. INTERNATIONAL SECURITIES LTD,C.A. INTERNATIONAL SECURITIES LTD
B01563,HUARONG INTERNATIONAL SECURITIES LTD,華融國際證券有限公司
B01564,ABCI SECURITIES CO LTD,農銀國際證券有限公司
B01565,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,國泰君安證券(香港)有限公司
B01566,K.K.M. SECURITIES LTD,新同得有限公司
B01567,PRIME SECURITIES LTD,發利證券有限公司
B01568,SHUN LOONG SECURITIES CO LTD,順隆證券行有限公司
B01569,TANG PING KONG LTD,太平行證券有限公司
B01570,GOLDENWAY SECURITIES CO LTD,金匯證券有限公司
B01571,KARFORD SECURITIES LTD,加福證券有限公司
B01572,ALEXANDRA STOCK CO LTD,ALEXANDRA STOCK CO LTD
B01573,TIM PO SECURITIES CO LTD,TIM PO SECURITIES CO LTD
B01574,WADER SECURITIES CO LTD,匯達証券有限公司
B01575,MASTER TRADEMORE SECURITIES LTD,恒富證券有限公司
B01576,SIU ON SECURITIES LTD,兆安證券有限公司
B01577,YF SECURITIES CO LTD,怡發證券有限公司
B01579,ELSTONE SECURITIES LTD,千里碩證券有限公司
B01580,OSHIDORI SECURITIES LTD,威華達證券有限公司
B01581,KINGSWAY FINANCIAL SERVICES GROUP LTD,滙富金融服務有限公司
B01582,THING ON SECURITIES LTD,晉安証券有限公司
B01583,RESIDENTS SECURITIES LTD,RESIDENTS SECURITIES LTD
B01584,CHIEF SECURITIES LTD,致富證券有限公司
B01585,SINO GRADE SECURITIES LTD,華誠證券有限公司
B01586,WHOLE WIN SECURITIES LTD,鴻運証券有限公司
B01587,T.Z. & W.Y. CHEUNG STOCKS LTD,T.Z. & W.Y. CHEUNG STOCKS LTD
B01588,LEI SHING HONG SECURITIES LTD,利星行證券有限公司
B01589,OUB SECURITIES (H.K.) LTD,OUB SECURITIES (H.K.) LTD
B01590,INTERACTIVE BROKERS HONG KONG LTD,盈透證券香港有限公司
B01591,BRIGHTON SECURITIES (HONG KONG) LTD,BRIGHTON SECURITIES (HONG KONG) LTD
B01592,PLATINUM BROKING CO LTD,百德能經紀有限公司
B01593,DAI-ICHI SECURITIES PACIFIC LTD,DAI-ICHI SECURITIES PACIFIC LTD
B01594,HOENIG (FAR EAST) LTD,HOENIG (FAR EAST) LTD
B01595,HUNG BROTHERS LTD,HUNG BROTHERS LTD
B01596,LG SECURITIES (H.K.) LTD,LG SECURITIES (H.K.) LTD
B01597,TIMES SECURITIES CO LTD,TIMES SECURITIES CO LTD
B01598,AMMB SECURITIES (H.K.) LTD,AMMB SECURITIES (H.K.) LTD
B01599,POLARIS SECURITIES (HONG KONG) LTD,POLARIS SECURITIES (HONG KONG) LTD
B01600,THOMAS GLOBAL FINANCIAL SERVICES LTD,石匠環球金服有限公司
B01601,CSC SECURITIES (HK) LTD,群益證券(香港)有限公司
B01602,FORLUXE SECURITIES LTD,FORLUXE SECURITIES LTD
B01603,KOFFMAN SECURITIES LTD,KOFFMAN SECURITIES LTD
B01604,HUABANG SECURITIES LTD,華邦證券有限公司
B01605,ESSENCE INTERNATIONAL FINANCIAL HOLDINGS,ESSENCE INTERNATIONAL FINANCIAL HOLDINGS
B01606,EWARTON SECURITIES LTD,穎翔證券有限公司
B01607,RHB SECURITIES HONG KONG LTD,興業金融證券有限公司
B01608,TC CONCORD SECURITIES LTD,天宸康合證券有限公司
B01609,WILBY SECURITIES LTD,惠興証券有限公司
B01610,KGI ASIA LTD,凱基證券亞洲有限公司
B01611,CAPITAL FRIEND SECURITIES LTD,CAPITAL FRIEND SECURITIES LTD
B01612,CU SECURITIES LTD,CU SECURITIES LTD
B01613,GOLDEN LIGHT SECURITIES LTD,GOLDEN LIGHT SECURITIES LTD
B01614,CHINA HONG KONG CAPITAL ASSET MANAGEMENT,中港金融資產管理有限公司
B01615,KAM FAI SECURITIES CO LTD,金輝証券有限公司
B01616,PACIFIC PEARL SECURITIES LTD,PACIFIC PEARL SECURITIES LTD
B01618,MAN WO INVESTMENT CO LTD,MAN WO INVESTMENT CO LTD
B01619,TUNG WUI SECURITIES CO LTD,東匯證券有限公司
B01620,VICTORY ENTERPRISES (INVESTMENT) LTD,萬利企業(投資)有限公司
B01621,TOWN HANG SECURITIES CO LTD,TOWN HANG SECURITIES CO LTD
B01622,CHARK FUNG SECURITIES CO LTD,CHARK FUNG SECURITIES CO LTD
B01623,TAI FUNG KUENTAI SECURITIES CO LTD,大豐崑泰證券有限公司
B01624,CHINA GUARD INVESTMENTS LTD,中衛投資有限公司
B01625,METRO CAPITAL SECURITIES LTD,美高證券有限公司
B01626,ONG ASIA SECURITIES (HK) LTD,ONG ASIA SECURITIES (HK) LTD
B01627,CSFG INTERNATIONAL SECURITIES LTD,山高國際證券有限公司
B01628,GREAT HONOUR SECURITIES LTD,GREAT HONOUR SECURITIES LTD
B01629,WALCO SECURITIES LTD,WALCO SECURITIES LTD
B01630,ANLI SECURITIES LTD,安里證券有限公司
B01631,PLANETREE SECURITIES LTD,梧桐證券有限公司
B01632,WAI FAT SECURITIES LTD,威發證券有限公司
B01633,ENLIGHTEN SECURITIES LTD,名匯證券有限公司
B01634,LLOYD SECURITIES CO LTD,LLOYD SECURITIES CO LTD
B01635,TAI WAH SECURITIES LTD,TAI WAH SECURITIES LTD
B01636,BUSINESS SECURITIES LTD,東信證券有限公司
B01637,COMPASS SECURITIES LTD,COMPASS SECURITIES LTD
B01638,KILMOREY SECURITIES LTD,金力証券有限公司
B01640,BEIJING SECURITIES LTD,北京證券有限公司
B01641,FULL WIN SECURITIES LTD,富盛證券有限公司
B01642,KMT SECURITIES LTD,飛達證券有限公司
B01643,LAI PO HUNG & CO LTD,LAI PO HUNG & CO LTD
B01644,Y. F. CHAN SECURITIES LTD,Y. F. CHAN SECURITIES LTD
B01645,SELINA & CO LTD,永高證券有限公司
B01646,TAI NING STOCK CO LTD,大寧證券有限公司
B01647,TRUTH SECURITIES LTD,致富證券投資有限公司
B01648,STELLAR SECURITIES LTD,恆星證券有限公司
B01649,CINDA INTERNATIONAL SECURITIES LTD,信達國際證券有限公司
B01650,KAM LUEN SECURITIES LTD,金鑾證券有限公司
B01651,MING HON SECURITIES LTD,明漢證券有限公司
B01652,TIS SECURITIES (HK) LTD,TIS SECURITIES (HK) LTD
B01653,WAI MAN STOCK & SHARES CO LTD,偉民股票買賣有限公司
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,中國國際金融香港證券有限公司
B01655,SANTANDER INVESTMENT SECURITIES (HK) LTD,SANTANDER INVESTMENT SECURITIES (HK) LTD
B01656,DASHIN SECURITIES LTD,DASHIN SECURITIES LTD
B01657,JS CRESVALE SECURITIES INTERNATIONAL LTD,日盛嘉富證券國際有限公司
B01658,DRAKE & MORGAN LTD,DRAKE & MORGAN LTD
B01659,CHEER UNION SECURITIES LTD,滿好證券有限公司
B01660,GRANSING SECURITIES CO LTD,國投證券有限公司
B01661,HERMES SECURITIES LTD,凱敏證券有限公司
B01662,BOKHARY SECURITIES LTD,包大衛証券投資有限公司
B01663,"DONALDSON, LUFKIN & JENRETTE ASIA","DONALDSON, LUFKIN & JENRETTE ASIA"
B01664,ROOFER SECURITIES LTD,路華證券有限公司
B01665,WINSOME STOCK CO LTD,永勝證券有限公司
B01666,GLORY SUN SECURITIES LTD,寶新證券有限公司
B01667,WIN SUCCESSFUL SECURITIES LTD,WIN SUCCESSFUL SECURITIES LTD
B01668,BRIGHT SMART SECURITIES INTERNATIONAL,耀才證券國際(香港)有限公司
B01669,FIRST SECURITIES (HK) LTD,第一證券(香港)有限公司
B01670,BAOQIAO PARTNERS SECURITIES (HK) LTD,寶橋證券(香港)有限公司
B01671,AEVITAS SECURITIES LTD,大錦證券有限公司
B01672,WORLDWIDE BROKERAGE LTD,環球證券有限公司
B01673,FULBRIGHT SECURITIES LTD,富昌證券有限公司
B01674,HONGKONG BAY SECURITIES LTD,港灣證券有限公司
B01675,T. W. SABNANI SECURITIES LTD,T. W. SABNANI SECURITIES LTD
B01676,TAI SHING STOCK INVESTMENT CO LTD,大盛証券投資有限公司
B01677,ANUENUE SECURITIES LTD,鉅亨證券有限公司
B01678,GLS SECURITIES LTD,佳隆證券有限公司
B01679,TAI FUNG SECURITIES LTD,大豐證券有限公司
B01680,SUCCESS SECURITIES LTD,實德證券有限公司
B01681,BOCOM INTERNATIONAL HOLDINGS CO LTD,BOCOM INTERNATIONAL HOLDINGS CO LTD
B01682,RAMON INVESTMENT CO,RAMON INVESTMENT CO
B01683,DBS TD WATERHOUSE SECURITIES (HONG KONG),DBS TD WATERHOUSE SECURITIES (HONG KONG)
B01684,WING ON SECURITIES LTD,永安證券有限公司
B01685,EVERGRANDE SECURITIES (HONG KONG) LTD,恆大證券(香港)有限公司
B01686,FIRST SHANGHAI SECURITIES LTD,第一上海證券有限公司
B01687,CHARLES SCHWAB HONG KONG SECURITIES LTD,CHARLES SCHWAB HONG KONG SECURITIES LTD
B01688,CHUN HUNG SECURITIES LTD,CHUN HUNG SECURITIES LTD
B01689,EUREKA SECURITIES LTD,EUREKA SECURITIES LTD
B01690,FIRST SIGN SECURITIES LTD,FIRST SIGN SECURITIES LTD
B01691,GREATER CHINA SECURITIES LTD,大中華證券有限公司
B01692,SMBC NIKKO SECURITIES (HONG KONG) LTD,SMBC NIKKO SECURITIES (HONG KONG) LTD
B01693,UOB KAY HIAN OVERSEAS LTD,UOB KAY HIAN OVERSEAS LTD
B01694,POWER SECURITIES CO LTD,權威證券有限公司
B01695,DAH SING SECURITIES LTD,大新證券有限公司
B01696,HANTEC SECURITIES CO LTD,亨達証券有限公司
B01697,KINGSWAY E-SERVICES LTD,KINGSWAY E-SERVICES LTD
B01698,LUEN SING SECURITIES LTD,LUEN SING SECURITIES LTD
B01699,MASTERLINK SECURITIES (HONG KONG),元富證券(香港)有限公司
B01700,REALINK FINANCIAL TRADE LTD,滙信理財有限公司
B01701,SHUI CHEUNG SECURITIES LTD,SHUI CHEUNG SECURITIES LTD
B01702,BLACK MARBLE SECURITIES LTD,貝格隆証券有限公司
B01703,CROWN RICH SECURITIES (H.K.) LTD,CROWN RICH SECURITIES (H.K.) LTD
B01704,JVSAKK ASIA LTD,匯通永利亞洲有限公司
B01705,HENIK SECURITIES LTD,恒億證券有限公司
B01706,MAN HON YEUNG SECURITIES LTD,文漢揚証券有限公司
B01707,PAK LEE STOCK CO LTD,PAK LEE STOCK CO LTD
B01708,ROSA SECURITIES LTD,羅沙證券有限公司
B01709,RPS INVESTMENT LTD,RPS INVESTMENT LTD
B01710,SINO-RICH SECURITIES & FUTURES LTD,中順證券期貨有限公司
B01711,UNI-ALPHA SECURITIES LTD,UNI-ALPHA SECURITIES LTD
B01712,WAH SANG SECURITIES LTD,華生證券有限公司
B01713,TRUSTFUL SECURITIES LTD,TRUSTFUL SECURITIES LTD
B01714,HEAD & SHOULDERS SECURITIES LTD,聯合證券有限公司
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,統一證券(香港)有限公司
B01716,ORIENT SECURITIES LTD,東方匯財證券有限公司
B01717,GOLDIN EQUITIES LTD,高銀(證券)有限公司
B01718,WILLIAMS SECURITIES LTD,WILLIAMS SECURITIES LTD
B01719,LING SECURITIES LTD,LING SECURITIES LTD
B01720,NORMAN KONG SECURITIES CO LTD,江陸證券有限公司
B01721,HUA NAN SECURITIES (HK) LTD,華南永昌證券(香港)有限公司
B01722,CTW SECURITIES LTD,卓越證券有限公司
B01723,KAM BO SECURITIES CO LTD,KAM BO SECURITIES CO LTD
B01724,RAMON INVESTMENT CO LTD,偉文証券有限公司
B01725,GT CAPITAL LTD,高富金融有限公司
B01726,C.P. SECURITIES INTERNATIONAL LTD,C.P. SECURITIES INTERNATIONAL LTD
B01727,ICBC (ASIA) SECURITIES LTD,工銀亞洲証券有限公司
B01728,AJ SECURITIES LTD,安捷證券有限公司
B01729,JOINCAP SECURITIES LTD,中楷證券有限公司
B01730,CCB SECURITIES LTD,建行證券有限公司
B01731,SHUN HENG SECURITIES LTD,信亨証券有限公司
B01732,WINTECH SECURITIES LTD,盈泰證券有限公司
B01733,GRAND CATHAY SECURITIES (HONG KONG) LTD,GRAND CATHAY SECURITIES (HONG KONG) LTD
B01734,KCG SECURITIES ASIA LTD,寶通證券亞洲有限公司
