participant_id,participant_name,participant_name_chi
B00402,CHAMPION & CO,CHAMPION & CO
B00403,GOLD FUND SECURITIES CO,GOLD FUND SECURITIES CO
B00408,MAINLAND SECURITIES CO,MAINLAND SECURITIES CO
B00413,ON HING SECURITIES CO,ON HING SECURITIES CO
B00418,MAN HON YEUNG & CO,MAN HON YEUNG & CO
B00419,WELFORM INVESTORS CO,WELFORM INVESTORS CO
B00422,TIM PO SECURITIES CO,TIM PO SECURITIES CO
B00424,TUNG WUI SECURITIES CO,TUNG WUI SECURITIES CO
B00444,TAK HING & CO,TAK HING & CO
B00450,SOO PEI SHAO & CO,SOO PEI SHAO & CO
B00451,SOO PUI CHEN & CO,SOO PUI CHEN & CO
B00452,HO CHONG & CO,HO CHONG & CO
B00454,FU WAH & CO,FU WAH & CO
B00456,WAI MAN STOCK & SHARES CO,WAI MAN STOCK & SHARES CO
B00457,CHEUNG ON & CO,CHEUNG ON & CO
B00461,TANG PING KONG & CO,TANG PING KONG & CO
B00465,BONANZA SECURITIES CO,BONANZA SECURITIES CO
B00466,TO HOI HUNG CO,TO HOI HUNG CO
B00470,KAN FUNG INVESTMENT CO,KAN FUNG INVESTMENT CO
B00472,ONWARD SECURITIES CO,ONWARD SECURITIES CO
B00473,WINLAND STOCK & SHARES CO,WINLAND STOCK & SHARES CO
B00486,CHUNG LEE & CO,CHUNG LEE & CO
B00487,CHUNG HSIN & CO,CHUNG HSIN & CO
B00489,ANDERSON WEN & CO,ANDERSON WEN & CO
B00490,THE BRIGHT SECURITIES CO,THE BRIGHT SECURITIES CO
B00494,WILBY INVESTMENT CO,WILBY INVESTMENT CO
B00499,HING WAI SECURITIES CO,HING WAI SECURITIES CO
B00502,PROSPEROUS INVESTMENT CO,PROSPEROUS INVESTMENT CO
B00508,HING SHING INVESTMENTS CO,HING SHING INVESTMENTS CO
B00534,SAN WAN YUAN & CO,SAN WAN YUAN & CO
B00539,UNION SECURITIES CO,UNION SECURITIES CO
B00545,CHAN & IU CO,CHAN & IU CO
B00566,NEW UNION SECURITIES CO,NEW UNION SECURITIES CO
B00579,FREDDY CO,FREDDY CO
B00585,J. A. FU & CO,J. A. FU & CO
B00587,TANG KEE & CO,TANG KEE & CO
B00597,LUNE YICK & CO,LUNE YICK & CO
B00598,KATHERINE IP & CO,KATHERINE IP & CO
B00601,VICTORY INVESTMENT CO,VICTORY INVESTMENT CO
B00602,GOLDEN HARVEST STOCK INVESTMENT CO,GOLDEN HARVEST STOCK INVESTMENT CO
B00605,CHONG SECURITIES CO,CHONG SECURITIES CO
B00607,LAI PO HUNG & CO,LAI PO HUNG & CO
B00609,SIU WING STOCKS & SHARES CO,SIU WING STOCKS & SHARES CO
B00610,WANG LEE CO (ADMINISTRATOR APPOINTED),WANG LEE CO (ADMINISTRATOR APPOINTED)
B00620,TAI CHUEN SECURITIES CO,TAI CHUEN SECURITIES CO
B00623,NATIONAL SECURITIES CO,NATIONAL SECURITIES CO
B00636,Y. K. LI CO,Y. K. LI CO
B00642,ANNIE MA & CO,ANNIE MA & CO
B00649,BENTLEY SECURITIES CO,BENTLEY SECURITIES CO
B00659,TRANSPACIFIC SECURITIES CO,TRANSPACIFIC SECURITIES CO
B00661,WAI FAT SECURITIES CO,WAI FAT SECURITIES CO
B00663,HOP YICK & CO,HOP YICK & CO
B00665,KING WAI CO,KING WAI CO
B00670,CHUNG TAK & CO,CHUNG TAK & CO
B00676,CARRY ON SECURITIES CO,CARRY ON SECURITIES CO
B00679,DOVER CO,DOVER CO
B00682,WING TAK & CO,WING TAK & CO
B00684,TAK ON SECURITIES CO,TAK ON SECURITIES CO
B00692,KWONG WAH INVESTMENT CO,KWONG WAH INVESTMENT CO
B00694,CHAN NGOK MING & CO,CHAN NGOK MING & CO
B00695,ALPHA SECURITIES CO,ALPHA SECURITIES CO
B00702,JENNY & EDWARD CHEUNG SECURITIES CO,JENNY & EDWARD CHEUNG SECURITIES CO
B00704,SEAGA INTERNATIONAL,SEAGA INTERNATIONAL
B00716,FOOK TAI & CO,FOOK TAI & CO
B00721,MAN WO INVESTMENT CO,MAN WO INVESTMENT CO
B00723,CARRIER STOCK INVESTMENT CO,CARRIER STOCK INVESTMENT CO
B00725,CHING YICK CO,CHING YICK CO
B00732,YING KIT STOCK CO,YING KIT STOCK CO
B00736,Y. S. LAW & CO,Y. S. LAW & CO
B00741,BOLD WIN SECURITIES CO,BOLD WIN SECURITIES CO
B00742,LEES SECURITIES CO,LEES SECURITIES CO
B00746,SHUK KWUN & CO,SHUK KWUN & CO
B00749,THOMAS SECURITIES CO,THOMAS SECURITIES CO
B00752,LEGARLEON SECURITIES,LEGARLEON SECURITIES
B00765,EASTERN SECURITIES & CO,EASTERN SECURITIES & CO
B00769,HOU TAK INVESTMENT CO,HOU TAK INVESTMENT CO
B00776,YICK FUNG SECURITIES & INVESTMENT CO,YICK FUNG SECURITIES & INVESTMENT CO
B00794,SHUI CHEUNG CO,SHUI CHEUNG CO
B00795,EATON SECURITIES,EATON SECURITIES
B00797,INTERCONTINENT SECURITIES CO,INTERCONTINENT SECURITIES CO
B00799,WILLIAM KOO & CO,WILLIAM KOO & CO
B00803,KAM KWONG CO,KAM KWONG CO
B00804,CHEONG LEE SECURITIES CO,CHEONG LEE SECURITIES CO
B00807,WING CHEUNG HING INVESTMENT CO,WING CHEUNG HING INVESTMENT CO
B00813,VICTORY ENTERPRISES CO,VICTORY ENTERPRISES CO
B00816,JOLLY STOCK INVESTMENT CO,JOLLY STOCK INVESTMENT CO
B00833,RESIDENTS SECURITIES CO,RESIDENTS SECURITIES CO
B00835,CHI HING CO,CHI HING CO
B00846,KEE CHEONG SECURITIES CO,KEE CHEONG SECURITIES CO
B00850,MELBOURNE INVESTMENT CO,MELBOURNE INVESTMENT CO
B00862,HUNG'S CO,HUNG'S CO
B00866,SALISBURY SECURITIES,SALISBURY SECURITIES
B00880,PING ON & CO,PING ON & CO
B00890,TAI FUNG HONG,TAI FUNG HONG
B00902,MAN SHING CO,MAN SHING CO
B00904,TAI HANG INVESTMENT CO,TAI HANG INVESTMENT CO
B00911,KILMOREY SECURITIES CO,KILMOREY SECURITIES CO
B00932,JAMES CO,JAMES CO
B00937,LUEN ON SECURITIES CO,LUEN ON SECURITIES CO
B00947,GENTLE SECURITIES CO,GENTLE SECURITIES CO
B00951,NG WA YEE & CO,NG WA YEE & CO
